,Smiles
79,C1(C(O)=O)C(O)CC2(O)CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C(O)C(C)C=CC=CC=CC=CC=CC=CC=CC(OC3OC(C)C(O)C(N)C3O)CC1O2
80,C1CN(C)[C@@H]2[C@@H]3[C@@]1(CC(=O)C(OC)=C3)c1c(O)c(OC)ccc1C2
81,[C@@H]12C[C@@H](C)[C@](O)(C(CO)=O)[C@@]1(C)C[C@H](O)[C@]1(F)[C@]3(C)C(=CC(=O)C=C3)CC[C@@H]21
82,c12ccccc1ncc(-c1ccc3c(c4n(-c5ccc(N6CCN(C(=O)CC)CC6)c(C(F)(F)F)c5)c(=O)ccc4cn3)c1)c2
83,[C@@H]12C[C@@H]1[C@@]1(C)C(=CC2=O)C(Cl)=C[C@H]2[C@H]3[C@](C)(CC[C@H]12)[C@](C(=O)C)(OC(=O)C)CC3
84,C1CCCCC1Nc1ccc(C(OCC)=O)cc1N
85,S(c1ccc([C@H]([C@H](NC(=O)C(Cl)Cl)CO)O)cc1)(C)(=O)=O
86,C1C(C(O)=O)CCC(CN)C1
87,OC1CC(O)C(C=CC(CCc2ccccc2)O)C1CC=CCCCC(=O)NCC
88,c1cc(S(=O)(=O)N)ccc1NC(=O)Nc1ccc(F)cc1
89,c1cccc(Nc2cccc(C)c2C)c1C(O)=O
90,C(N(c1ccccc1C=Cc1cc[n+]([O-])cc1)S(=O)(c1ccc(OC)cc1)=O)(C)=O
91,c1(COC(C)(C(=O)O)C)nn(Cc2ccccc2)c2ccccc12
92,c1(-c2c(-c3ccc(Cn4c5c(C(=O)O)cccc5nc4OCC)cc3)cccc2)nn[nH]n1
93,C1(OC2C3COC(=O)C3C(c3cc(OC)c(O)c(OC)c3)c3c2cc2c(c3)OCO2)OC2C(C(O)C1O)OC(C)OC2
94,CP(C)(=O)c1ccccc1Nc1c(Cl)cnc(Nc2c(OC)cc(N3CCC(N(C)C)CC3)cc2)n1
95,OC(=O)[C@H](NC)CC(O)=O
96,n1c(NC(CSc2nc3c(c(=O)n2-c2ccccc2)SCC3)=O)ccc(-c2ccccc2)c1
97,c1cc(CC2COC(=O)N2)cc2c(CCN(C)C)c[nH]c12
98,C1N(Cc2ccc(NC(=O)c3cc(C#Cc4cc5c(nc4)[nH]nc5)c(C)cc3)cc2C(F)(F)F)CCN(C)C1
99,CC1(C)O[C@H]2[C@H]([C@@H]3OC(C)(C)O[C@]3(COS(=O)(=O)N)OC2)O1
100,N#Cc1c(Cl)cccc1OCC(O)CNC(C)(C)Cc1ccc2c(cccc2)c1
101,n1cc(SCc2ncc(C(C)(C)C)o2)sc1NC(C1CCNCC1)=O
102,C[C@]12[C@@H](CC[C@]1(O)C(CO)=O)[C@H]1[C@H]([C@@H](O)C2)[C@@]2(C)C=CC(=O)C=C2[C@@H](C)C1
103,N(=C/c1oc([N+](=O)[O-])cc1)\NC(N)=O
104,FC(F)(C(=O)N[C@@H]1[C@H](O)[C@H](C)O[C@@H](O[C@@H]2c3c(c(O)c4c(c3O)C(=O)c3c(OC)cccc3C4=O)C[C@](C(=O)COC(CCCC)=O)(O)C2)C1)F
105,C(CCC(=O)OC1C(C)C2C34OOC(C)(CCC3C(C)CC2)OC4O1)(O)=O
106,CCCc1n(Cc2ccc(-c3c(-c4n[nH]nn4)cccc3)cc2)c(C(OCc2c(C)oc(=O)o2)=O)c(C(C)(C)O)n1
107,C(CCOc1cc(C)ccc1C)C(C)(C)C(O)=O
108,C1(O)CC(O)C(=C)C(=CC=C2CCCC3(C)C(C(C)C=CC(C(C)C)C)CCC32)C1
109,C(N[C@@H](Cc1ccccc1)[C@@H](O)C(N(C)C)=O)(=O)c1[nH]c2ccc(Cl)cc2c1
110,C(NC(c1cnccc1)=O)CO[N+](=O)[O-]
111,c1(N)c(-c2cc(=O)c3c(o2)cccc3)cccc1OC
112,N1(C(c2ccccc2)=O)CCN(C(=O)C(=O)c2c3c(OC)ccnc3[nH]c2)C(C)C1
113,c1(C(NCc2ncccn2)=O)c(NCc2ccc(OC)c(Cl)c2)nc(N2CCC[C@H]2CO)nc1
114,C12=CC(=O)C=C[C@]1(C)[C@@]1(F)[C@@H](O)C[C@]3(C)[C@]4(C(=O)CO)OC(C)(C)O[C@@H]4C[C@H]3[C@@H]1C[C@@H]2F
115,FC(c1cc(-c2nn(C=CC(N3CC(F)(F)C3)=O)cn2)cc(C(F)(F)F)c1)(F)F
116,O=C(c1cccc(F)c1)/C=C/c1cn(C)c(/C=C/C(=O)NO)c1
117,[nH]1c(=O)[nH]c(=O)c(F)c1
118,C1(=O)c2ccc(Nc3ccc(F)cc3F)cc2CCc2c1cc(OCC(O)CO)cc2
119,S(=O)(N1[C@@H](C)[C@H](NC(=O)/C(c2csc(N)n2)=N\OC(C)(C)C(O)=O)C1=O)(O)=O
120,C(CS(=O)c1ccccc1)C1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
121,OC1C[C@H]2[C@@H]3O[C@@H]3[C@H](N2C)C1
122,C(Cn1nc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)nn1)(O)=O
123,c1c2ncnc(Nc3cc(Cl)c(F)cc3)c2cc(OCCCN2CCOCC2)c1OC
124,N1N=C(c2ccc(NN=C(C#N)C#N)cc2)[C@H](C)CC1=O
125,c1c(C(C)(C)C)onc1NC(Nc1ccc(-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc23)cc1)=O
126,C1(=O)N(C2CCC(=O)NC2=O)Cc2c(N)cccc21
127,c1c(NC(=O)Nc2ccccc2)ccc(-c2ccc(C(=O)[C@H]3[C@H](C(O)=O)CCC3)cc2)c1
128,O=S(=O)(c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1)C
129,C1N(C)CCN(c2nc(C=Cc3ccccc3)nc(Nc3n[nH]c(C)c3)c2)C1
130,C(C(Nc1cc(Oc2c(Cl)cnc(Nc3c(OC)cc(N4CCN(C)CC4)cc3)n2)ccc1)=O)C
131,c1(C(F)(F)F)c(C#N)ccc(NC([C@](C)(COc2ccc(C#N)cc2)O)=O)c1
132,C1(C)(C)[C@H](C(O)=O)N2C(=O)C[C@H]2S1(=O)=O
133,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@H]3OC(=O)C[C@H](O)C3)[C@H]21
134,C(C)OC(=O)C1=C(C)NC(C)=C(C(OC)=O)C1c1cccc([N+](=O)[O-])c1
135,C1(Nc2cc3c(Nc4cc(Cl)c(OCc5nccs5)cc4)ncnc3cc2)=NC(C)CO1
136,ClCCN(CCCl)P1(=O)NCCCO1
137,O=S(Nc1c(Oc2ccccc2)cc([N+]([O-])=O)cc1)(=O)C
138,C(C(NCCOc1ccccc1OCC(F)(F)F)C)c1cc2c(c(C(N)=O)c1)N(CCCO)CC2
139,CC(c1nc(-c2sc(NC(=O)N3CCC[C@H]3C(N)=O)nc2C)cs1)(C)C
140,Clc1c(CS(=O)(=O)c2cc3c(cc2)NC(=O)C3=Cc2c(C)c(C(N3CCCC3CN3CCCC3)=O)c(C)[nH]2)c(Cl)ccc1
141,C1(Nc2nc(N)nc(N)n2)CC1
142,CC(OCc1nn(Cc2ccccc2)c2ccccc12)(C(=O)O)C
143,O=C(C(CCCN=C(N)N)NS(=O)(=O)c1cccc2c1NCC(C)C2)N1C(C(O)=O)CC(C)CC1
144,[nH]1cnc2[nH]cnc(=S)c12
145,C[C@@H]1CN(C(=O)c2ccccc2)CCN1C(C(=O)c1c[nH]c2nccc(OC)c21)=O
146,N(c1c2c(n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cn2)ncn1)C
147,c1(C=C(C#N)C#N)cc(C(C)(C)C)c(O)c(Br)c1
148,O[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)O[C@H]1C
149,c1nc2ccc3c(cc(NS(=O)(=O)N(C[C@@H]4COCCO4)C)cc3)c(=O)c2cc1-c1cn(C)nc1
150,Oc1ccccc1C(Nc1ccccc1)=O
151,[C@H]12[C@]34[C@@H]5[C@H]6[C@H](C(=CCO[C@H]6CC(=O)N5c5c3cc(OC)c(OC)c5)CN1CC4)C2
152,O=C1C[C@@H]2[C@H](CC[C@@](C(F)(F)CCCC)(O)O2)[C@H]1CCCCCCC(O)=O
153,c1c(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]3[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)O2)cc(O)c(O)c1
154,c1cc(OC(C)=O)ccc1C(c1ncccc1)c1ccc(OC(=O)C)cc1
155,c12ccc(S(N)(=O)=O)cc1/C(=C/c1c3c(cccc3)n(C)c1)C(=O)N2
156,c1cc(OC(C)(C(O)=O)C)ccc1C1C(Cl)(Cl)C1
157,c1cc(-c2n(-c3c(Cl)cc(Cl)cc3)nc(C(=O)NN3CCCCC3)c2C)ccc1I
158,O=C(C=Cc1ccc(CN(CCc2c3ccccc3[nH]c2)CCO)cc1)NO
159,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21.O=P(O)(O)O.O=P(O)(O)O
160,C1CN(c2c3c(nc(-c4ccc(NC(=O)OC)cc4)n2)n(C2CCN(C(OC)=O)CC2)nc3)CCO1
161,Oc1c(O)c2c(cc1)[C@@H]1[C@](O)(CO2)Cc2cc(O)c(O)cc21
162,CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1.O=C(O)C(O)C(O)C(=O)O
163,O[C@@H]([C@@H](O)[C@H](O)[C@H](O)CO)CO
164,CC1=C(C(=O)OCCOC)C(c2cc([N+]([O-])=O)ccc2)C(C(=O)OCC=Cc2ccccc2)=C(C)N1
165,c1(Cl)cc2c(cc1)C(=C1CCN(C(OCC)=O)CC1)c1c(cccn1)CC2
166,c1(C2CC(O)(C)C2)nc(-c2ccc3c(c2)nc(-c2ccccc2)cc3)c2n1ccnc2N
167,C1(O)C(O)C(CO)OC(O[C@H]([C@H](NC(=O)c2c(C)c(N)nc([C@@H](NC[C@H](N)C(=O)N)CC(=O)N)n2)C(=O)N[C@@H]([C@@H](O)[C@H](C)C(N[C@@H]([C@H](O)C)C(=O)NCCc2nc(-c3scc(C(NCCC[S+](C)C)=O)n3)cs2)=O)C)c2[nH]cnc2)C1OC1OC(CO)C(O)C(OC(=O)N)C1O
168,CC12C(C3CC=C4CC(OC5OC(CO)C(OC6OC(C)C(O)C(O)C6O)C(O)C5OC5C(O)C(O)C(O)C(C)O5)CCC4(C)C3CC1)CC1OC3(CCC(C)CO3)C(C)C12
169,c1c(N(C)C)ccc(-c2nc3ncc(Cl)c(N4CCN(CC(=O)Nc5nccs5)CC4)c3[nH]2)c1
170,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
171,C(=CC(C)=CC(O)=O)C=C(C)C=CC1=C(C)CCCC1(C)C
172,c1(S(Nc2c(Nc3ccc(O)cc3)nccc2)(=O)=O)ccc(OC)cc1
173,n1cnc(Nc2cccc(C#C)c2)c2cc3c(cc12)OCCOCCOCCO3
174,O(C1OC(CO)C(O)C(O)C1O)CCc1ccc(O)cc1
175,CC(C(=O)NCC(O)=O)S
176,C1OC[C@@H](CN(C)S(=O)(Nc2cc3c(cc2)ccc2ncc(-c4cnn(C)c4)cc2c3=O)=O)OC1
177,c1ccccc1/C(c1ncccc1)=N\Nc1ncc(Cl)cc1
178,s1c(N)nc2c1C[C@@H](NCCC)CC2
179,c1(F)c(F)c(Nc2c(F)cc(I)cc2)c(C(NOCC(O)CO)=O)cc1
180,O=C(NC(C)C)c1ccc(CNNC)cc1
181,C1/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O[C@@H](C)CC1
182,N(C(=O)c1c(O)c2c(cccc2Cl)n(C)c1=O)(c1ccccc1)CC
183,C(C(C(O)CO)O)O
184,C(C(=O)NC(C(c1ccc([N+](=O)[O-])cc1)O)CO)(Cl)Cl
185,O=C1NC(=O)S/C1=C\c1cccc(C(F)(F)F)c1
186,[C@H](O)(COc1c(C)c2n(c1)ncnc2Oc1c(F)c2cc(C)[nH]c2cc1)C
187,[C@@H]1(CO)[C@@H](O)C[C@H](n2c(=O)[nH]c(=O)c(I)c2)O1
188,c1(=O)[nH]c2c(o1)ccc(Cl)c2
189,C(=O)(C=C)Nc1cc(Nc2c(F)cnc(Nc3ccc(OCCOC)cc3)n2)ccc1
190,N1(C(=O)[C@@H](NC(=O)[C@H](C)NC)C2CCCCC2)CCC[C@H]1C(Nc1c(-c2ccccc2)nns1)=O
191,C1(=O)C(C)C(O)C(C)CCCC2(C)OC2CC(C(=Cc2csc(C)n2)C)OC(=O)CC(O)C1(C)C
192,C1(CO)OC(n2c(N)c(C(N)=O)nc2)C(O)C1O
193,n1c2c(c(N3CC[C@H](N4CCCCC4)C3)nc1)c(-c1cnn(C)c1-c1ccc(C)cc1)nn2C
194,c1(OC)cc(OC)cc(OC)c1/C=C/S(Cc1ccc(OC)c(NCC(O)=O)c1)(=O)=O
195,O(C1C(OC(C(CO)(CO)C)=O)CCC(CC(C2OC(=O)C3N(CCCC3)C(=O)C(=O)C3(O)OC(CC(OC)C(C)=CC=CC=CC(C)CC(C)C(=O)C(OC)C(O)C(C)=CC(C)C(=O)C2)CCC3C)C)C1)C
196,C(c1ccc(F)c(Cl)c1)n1nc(C(NC)=O)c2n3c(c(O)c2c1=O)C(=O)N(CC)CC3C
197,c1cc2n(CCN(CC)CC)c(CCCC)nc2cc1C=CC(=O)NO
198,c1c(Br)ccc(Nc2c(C(=O)NOCCO)cc3c(ncn3C)c2F)c1F
199,O1[Sb](O[Sb]2(=O)O[C@@H](C(O)=O)[C@@H](O)[C@@H]([C@H](O)CO)O2)(=O)O[C@@H](C(O)=O)[C@@H](O)[C@H]1[C@H](O)CO
200,c12c3c(c4c5ccccc5n5c4c1n(c1ccccc21)C1CCC5O1)C(=O)NC3=O
201,C1C2C(OC3OC4COC(c5sccc5)OC4C(O)C3O)c3c(cc4c(c3)OCO4)C(c3cc(OC)c(O)c(OC)c3)C2C(=O)O1
202,FC1(F)CN(C(C=Cn2cnc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)=O)C1
203,c12cc(Cl)ccc1c(NC(CCCN(CC)CC)C)c1c(ccc(OC)c1)n2
204,c1(-c2nc3c(c(Nc4cc(C(Nc5cccc(C(F)(F)F)c5)=O)ccc4C)n2)cnn3C)cnccc1
205,c1c(OC2OCCCC2)ccc(O)c1
206,c1cnc(Cl)cc1C#Cc1c(C)n(-c2ccc(OC(F)(F)F)cc2)c(C)n1
207,n12cc(C)cc([C@H](Nc3c(C(O)=O)cccc3)C)c1nc(N1CCOCC1)cc2=O
208,c1cc(O)c(C=O)c2c1c(C)cc(=O)o2
209,[C@H]1(c2c3oc(-c4c(Cl)cccc4)cc(=O)c3c(O)cc2O)CCN(C)C[C@H]1O
210,Cl.NCCc1ccc(O)c(O)c1
211,O=S(N1C(=O)C(NC(=O)C(=NOC(C)(C)C(O)=O)c2nc(N)sc2)C1C)(O)=O
212,O=[N+](c1oc(C=NNC(=O)N)cc1)[O-]
213,c1(C2=NNC(=O)CC2C)ccc(NN=C(C#N)C#N)cc1
214,C(=C\n1nc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)nc1)\C(N1CC(F)(F)C1)=O
215,c1c(NC(Nc2cc([C@@H](NC(O[C@@H](CC#N)CC)=O)C)ccc2)=O)cc(OC)c(-c2cnco2)c1
216,c1(Nc2nc(CC3(C(O)=O)CCC(Oc4cccc(Cl)c4F)CC3)ccc2)nccs1
217,O1c2c(ccc(C=CC=CC(=O)N3CCCCC3)c2)OC1
218,n1(C)cc(C=C2C(=O)Nc3cccnc32)c2ccccc12
219,C1C(O)CC(CCC2C(C)C=CC3=CC(C)CC(OC(C(C)(C)CC)=O)C23)OC1=O
220,C1(C(=O)OCC)=C(C)NC(C)=C(C(OC)=O)C1c1c(Cl)c(Cl)ccc1
221,CC1=CC2C3CCC(OC(C)=O)(C(=O)C)C3(C)CCC2C2(C)C1=CC(=O)CC2
222,N1(C)S(=O)(=O)c2ccsc2C(O)=C1C(Nc1ccccn1)=O
223,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1.O=C(O)/C=C/C(=O)O
224,Oc1cc(C(=O)O[C@@H]2Cc3c(cc(O)cc3O)O[C@@H]2c2cc(O)c(O)c(O)c2)cc(O)c1O
225,c1(C)c(CSCCNC(=NC)NC#N)nc[nH]1
226,O=C(OC1(C(=O)C)C2(C)CCC3C4(C)C(=CC(=O)CC4)C(C)CC3C2CC1)C
227,C1CC1C#CC1(C(F)(F)F)c2c(ccc(Cl)c2)NC(=O)O1
228,c12c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc1cc(OC)c(C(=O)N)c2
229,O(C)[C@]1(C)C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@H]3[C@H](O)[C@@H](N(C)C)C[C@@H](C)O3)[C@H]2C)O[C@@H](C)[C@@H]1O
230,c1ccc2c(CNc3ccsc3C(Nc3ccc(OC(F)(F)F)cc3)=O)ccnc2c1
231,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](Oc2c(O)cc3oc(=O)ccc3c2)O1
232,Ic1cc(C[C@@H](C(O)=O)N)cc(I)c1Oc1cc(I)c(O)c(I)c1
